22423: REGENCY CAKESTAND 3 TIER ==> 23298: SPOTTY BUNTING (Sup=0.051, DirSup=0.024, Conf=0.231, DirConf=0.109, Lift=1.616, Conv=1.301)
22423: REGENCY CAKESTAND 3 TIER ==> 23245: SET OF 3 REGENCY CAKE TINS (Sup=0.076, DirSup=0.038, Conf=0.342, DirConf=0.171, Lift=2.899, Conv=1.519)
22423: REGENCY CAKESTAND 3 TIER ==> 47566: PARTY BUNTING (Sup=0.069, DirSup=0.023, Conf=0.312, DirConf=0.105, Lift=1.767, Conv=1.454)
22423: REGENCY CAKESTAND 3 TIER ==> 84879: ASSORTED COLOUR BIRD ORNAMENT (Sup=0.063, DirSup=0.022, Conf=0.284, DirConf=0.101, Lift=1.676, Conv=1.397)
84992: 72 SWEETHEART FAIRY CAKE CASES ==> 21212: PACK OF 72 RETROSPOT CAKE CASES (Sup=0.052, DirSup=0.013, Conf=0.64, DirConf=0.157, Lift=4.031, Conv=2.778)
22699: ROSES REGENCY TEACUP AND SAUCER  ==> 22423: REGENCY CAKESTAND 3 TIER (Sup=0.081, DirSup=0.015, Conf=0.759, DirConf=0.145, Lift=3.427, Conv=4.146)
22699: ROSES REGENCY TEACUP AND SAUCER  & 22697: GREEN REGENCY TEACUP AND SAUCER ==> 22423: REGENCY CAKESTAND 3 TIER (Sup=0.065, DirSup=0.011, Conf=0.809, DirConf=0.133, Lift=3.652, Conv=5.226)
22697: GREEN REGENCY TEACUP AND SAUCER ==> 22423: REGENCY CAKESTAND 3 TIER (Sup=0.075, DirSup=0.014, Conf=0.769, DirConf=0.146, Lift=3.474, Conv=4.333)
21977: PACK OF 60 PINK PAISLEY CAKE CASES ==> 21212: PACK OF 72 RETROSPOT CAKE CASES (Sup=0.069, DirSup=0.01, Conf=0.669, DirConf=0.102, Lift=4.214, Conv=3.022)
22666: RECIPE BOX PANTRY YELLOW DESIGN ==> 22720: SET OF 3 CAKE TINS PANTRY DESIGN  (Sup=0.066, DirSup=0.015, Conf=0.56, DirConf=0.131, Lift=3.507, Conv=2.274)
22720: SET OF 3 CAKE TINS PANTRY DESIGN  ==> 23245: SET OF 3 REGENCY CAKE TINS (Sup=0.056, DirSup=0.026, Conf=0.352, DirConf=0.164, Lift=2.984, Conv=1.542)
22720: SET OF 3 CAKE TINS PANTRY DESIGN  ==> 85123A: WHITE HANGING HEART T-LIGHT HOLDER (Sup=0.053, DirSup=0.018, Conf=0.333, DirConf=0.111, Lift=1.554, Conv=1.499)
22720: SET OF 3 CAKE TINS PANTRY DESIGN  ==> 22423: REGENCY CAKESTAND 3 TIER (Sup=0.064, DirSup=0.022, Conf=0.403, DirConf=0.139, Lift=1.821, Conv=1.675)
22720: SET OF 3 CAKE TINS PANTRY DESIGN  ==> 22666: RECIPE BOX PANTRY YELLOW DESIGN (Sup=0.066, DirSup=0.016, Conf=0.414, DirConf=0.103, Lift=3.507, Conv=1.707)
22960: JAM MAKING SET WITH JARS ==> 22423: REGENCY CAKESTAND 3 TIER (Sup=0.056, DirSup=0.018, Conf=0.39, DirConf=0.125, Lift=1.762, Conv=1.64)
22960: JAM MAKING SET WITH JARS ==> 22720: SET OF 3 CAKE TINS PANTRY DESIGN  (Sup=0.063, DirSup=0.016, Conf=0.437, DirConf=0.111, Lift=2.737, Conv=1.777)
22722: SET OF 6 SPICE TINS PANTRY DESIGN ==> 22720: SET OF 3 CAKE TINS PANTRY DESIGN  (Sup=0.068, DirSup=0.014, Conf=0.692, DirConf=0.145, Lift=4.332, Conv=3.248)
21755: LOVE BUILDING BLOCK WORD ==> 21754: HOME BUILDING BLOCK WORD (Sup=0.055, DirSup=0.011, Conf=0.653, DirConf=0.131, Lift=7.264, Conv=2.88)
21754: HOME BUILDING BLOCK WORD ==> 21755: LOVE BUILDING BLOCK WORD (Sup=0.055, DirSup=0.009, Conf=0.611, DirConf=0.106, Lift=7.264, Conv=2.571)
22384: LUNCH BAG PINK POLKADOT ==> 20725: LUNCH BAG RED RETROSPOT (Sup=0.074, DirSup=0.014, Conf=0.663, DirConf=0.128, Lift=4.992, Conv=2.967)
22384: LUNCH BAG PINK POLKADOT ==> 23206: LUNCH BAG APPLE DESIGN (Sup=0.054, DirSup=0.018, Conf=0.488, DirConf=0.166, Lift=4.872, Conv=1.952)
22384: LUNCH BAG PINK POLKADOT ==> 85099B: JUMBO BAG RED RETROSPOT (Sup=0.057, DirSup=0.017, Conf=0.517, DirConf=0.157, Lift=3.256, Conv=2.07)
22384: LUNCH BAG PINK POLKADOT ==> 22382: LUNCH BAG SPACEBOY DESIGN  (Sup=0.064, DirSup=0.016, Conf=0.573, DirConf=0.146, Lift=4.675, Conv=2.342)
22384: LUNCH BAG PINK POLKADOT ==> 20728: LUNCH BAG CARS BLUE (Sup=0.071, DirSup=0.014, Conf=0.64, DirConf=0.124, Lift=5.334, Conv=2.781)
22384: LUNCH BAG PINK POLKADOT ==> 23209: LUNCH BAG VINTAGE DOILY  (Sup=0.057, DirSup=0.022, Conf=0.512, DirConf=0.2, Lift=4.376, Conv=2.051)
22384: LUNCH BAG PINK POLKADOT ==> 22383: LUNCH BAG SUKI DESIGN  (Sup=0.061, DirSup=0.014, Conf=0.546, DirConf=0.124, Lift=5.029, Conv=2.203)
22384: LUNCH BAG PINK POLKADOT ==> 20727: LUNCH BAG  BLACK SKULL. (Sup=0.07, DirSup=0.017, Conf=0.627, DirConf=0.153, Lift=5.484, Conv=2.681)
22384: LUNCH BAG PINK POLKADOT ==> 23207: LUNCH BAG ALPHABET DESIGN (Sup=0.052, DirSup=0.019, Conf=0.465, DirConf=0.173, Lift=4.943, Conv=1.87)
22384: LUNCH BAG PINK POLKADOT & 20725: LUNCH BAG RED RETROSPOT ==> 22382: LUNCH BAG SPACEBOY DESIGN  (Sup=0.052, DirSup=0.009, Conf=0.702, DirConf=0.125, Lift=5.725, Conv=3.352)
22384: LUNCH BAG PINK POLKADOT & 20725: LUNCH BAG RED RETROSPOT ==> 20728: LUNCH BAG CARS BLUE (Sup=0.055, DirSup=0.008, Conf=0.753, DirConf=0.108, Lift=6.268, Conv=4.041)
22384: LUNCH BAG PINK POLKADOT & 20725: LUNCH BAG RED RETROSPOT ==> 20727: LUNCH BAG  BLACK SKULL. (Sup=0.055, DirSup=0.009, Conf=0.746, DirConf=0.129, Lift=6.523, Conv=3.933)
